Filename,Sample Rate,Bit Depth,Duration (s),Channels,Number of Frames
03-01-01-01-01-01-13.wav,16000,16,3.17,1,50717
03-01-01-01-01-02-13.wav,16000,16,3.203,1,51251
03-01-01-01-02-01-13.wav,16000,16,3.07,1,49116
03-01-01-01-02-02-13.wav,16000,16,3.136,1,50183
03-01-02-01-01-01-13.wav,16000,16,3.303,1,52853
03-01-02-01-01-02-13.wav,16000,16,3.17,1,50717
03-01-02-01-02-01-13.wav,16000,16,3.136,1,50183
03-01-02-01-02-02-13.wav,16000,16,2.936,1,46980
03-01-02-02-01-01-13.wav,16000,16,3.136,1,50184
03-01-02-02-01-02-13.wav,16000,16,3.203,1,51251
03-01-02-02-02-01-13.wav,16000,16,3.003,1,48048
03-01-02-02-02-02-13.wav,16000,16,3.036,1,48582
03-01-03-01-01-01-13.wav,16000,16,3.237,1,51785
03-01-03-01-01-02-13.wav,16000,16,3.203,1,51251
03-01-03-01-02-01-13.wav,16000,16,3.136,1,50184
03-01-03-01-02-02-13.wav,16000,16,3.203,1,51251
03-01-03-02-01-01-13.wav,16000,16,3.437,1,54988
03-01-03-02-01-02-13.wav,16000,16,3.604,1,57658
03-01-03-02-02-01-13.wav,16000,16,3.37,1,53920
03-01-03-02-02-02-13.wav,16000,16,3.337,1,53387
03-01-04-01-01-01-13.wav,16000,16,3.57,1,57124
03-01-04-01-01-02-13.wav,16000,16,3.537,1,56590
03-01-04-01-02-01-13.wav,16000,16,3.437,1,54988
03-01-04-01-02-02-13.wav,16000,16,3.37,1,53921
03-01-04-02-01-01-13.wav,16000,16,3.337,1,53387
03-01-04-02-01-02-13.wav,16000,16,3.303,1,52853
03-01-04-02-02-01-13.wav,16000,16,3.437,1,54988
03-01-04-02-02-02-13.wav,16000,16,3.203,1,51251
03-01-05-01-01-01-13.wav,16000,16,3.437,1,54988
03-01-05-01-01-02-13.wav,16000,16,3.537,1,56590
03-01-05-01-02-01-13.wav,16000,16,3.604,1,57658
03-01-05-01-02-02-13.wav,16000,16,3.37,1,53920
03-01-05-02-01-01-13.wav,16000,16,3.67,1,58725
03-01-05-02-01-02-13.wav,16000,16,4.271,1,68335
03-01-05-02-02-01-13.wav,16000,16,3.57,1,57124
03-01-05-02-02-02-13.wav,16000,16,4.171,1,66733
03-01-06-01-01-01-13.wav,16000,16,3.136,1,50184
03-01-06-01-01-02-13.wav,16000,16,3.17,1,50717
03-01-06-01-02-01-13.wav,16000,16,3.203,1,51251
03-01-06-01-02-02-13.wav,16000,16,3.237,1,51785
03-01-06-02-01-01-13.wav,16000,16,3.37,1,53921
03-01-06-02-01-02-13.wav,16000,16,3.27,1,52319
03-01-06-02-02-01-13.wav,16000,16,3.504,1,56056
03-01-06-02-02-02-13.wav,16000,16,3.203,1,51251
03-01-07-01-01-01-13.wav,16000,16,3.136,1,50183
03-01-07-01-01-02-13.wav,16000,16,3.17,1,50717
03-01-07-01-02-01-13.wav,16000,16,3.27,1,52319
03-01-07-01-02-02-13.wav,16000,16,3.237,1,51785
03-01-07-02-01-01-13.wav,16000,16,3.403,1,54454
03-01-07-02-01-02-13.wav,16000,16,3.704,1,59259
03-01-07-02-02-01-13.wav,16000,16,3.403,1,54454
03-01-07-02-02-02-13.wav,16000,16,3.437,1,54988
03-01-08-01-01-01-13.wav,16000,16,3.403,1,54454
03-01-08-01-01-02-13.wav,16000,16,3.136,1,50183
03-01-08-01-02-01-13.wav,16000,16,3.136,1,50184
03-01-08-01-02-02-13.wav,16000,16,3.036,1,48582
03-01-08-02-01-01-13.wav,16000,16,3.337,1,53387
03-01-08-02-01-02-13.wav,16000,16,3.303,1,52853
03-01-08-02-02-01-13.wav,16000,16,3.337,1,53387
03-01-08-02-02-02-13.wav,16000,16,3.303,1,52853
