Filename,Sample Rate,Bit Depth,Duration (s),Channels,Number of Frames,
03-01-01-01-01-01-01.wav,16000,16,3.303,1,52853,
03-01-01-01-01-02-01.wav,16000,16,3.337,1,53387,
03-01-01-01-02-01-01.wav,16000,16,3.27,1,52319,s
03-01-01-01-02-02-01.wav,16000,16,3.17,1,50717,
03-01-02-01-01-01-01.wav,16000,16,3.537,1,56590,
03-01-02-01-01-02-01.wav,16000,16,3.604,1,57657,
03-01-02-01-02-01-01.wav,16000,16,3.504,1,56056,
03-01-02-01-02-02-01.wav,16000,16,3.47,1,55522,
03-01-02-02-01-01-01.wav,16000,16,3.704,1,59259,
03-01-02-02-01-02-01.wav,16000,16,4.004,1,64064,
03-01-02-02-02-01-01.wav,16000,16,4.204,1,67267,
03-01-02-02-02-02-01.wav,16000,16,4.004,1,64064,
03-01-03-01-01-01-01.wav,16000,16,3.47,1,55522,
03-01-03-01-01-02-01.wav,16000,16,3.47,1,55522,
03-01-03-01-02-01-01.wav,16000,16,3.537,1,56590,
03-01-03-01-02-02-01.wav,16000,16,3.704,1,59259,
03-01-03-02-01-01-01.wav,16000,16,3.67,1,58725,
03-01-03-02-01-02-01.wav,16000,16,3.637,1,58191,
03-01-03-02-02-01-01.wav,16000,16,3.937,1,62996,
03-01-03-02-02-02-01.wav,16000,16,3.937,1,62996,
03-01-04-01-01-01-01.wav,16000,16,3.837,1,61395,
03-01-04-01-01-02-01.wav,16000,16,3.57,1,57124,
03-01-04-01-02-01-01.wav,16000,16,3.504,1,56056,
03-01-04-01-02-02-01.wav,16000,16,3.37,1,53921,
03-01-04-02-01-01-01.wav,16000,16,3.804,1,60861,
03-01-04-02-01-02-01.wav,16000,16,3.704,1,59259,
03-01-04-02-02-01-01.wav,16000,16,3.737,1,59793,
03-01-04-02-02-02-01.wav,16000,16,3.737,1,59793,
03-01-05-01-01-01-01.wav,16000,16,3.871,1,61929,
03-01-05-01-01-02-01.wav,16000,16,3.937,1,62996,
03-01-05-01-02-01-01.wav,16000,16,3.504,1,56056,
03-01-05-01-02-02-01.wav,16000,16,3.737,1,59793,
03-01-05-02-01-01-01.wav,16000,16,4.104,1,65666,
03-01-05-02-01-02-01.wav,16000,16,4.371,1,69937,
03-01-05-02-02-01-01.wav,16000,16,4.137,1,66199,
03-01-05-02-02-02-01.wav,16000,16,4.438,1,71004,
03-01-06-01-01-01-01.wav,16000,16,3.67,1,58725,
03-01-06-01-01-02-01.wav,16000,16,3.637,1,58192,
03-01-06-01-02-01-01.wav,16000,16,3.437,1,54988,
03-01-06-01-02-02-01.wav,16000,16,3.704,1,59259,
03-01-06-02-01-01-01.wav,16000,16,5.005,1,80080,
03-01-06-02-01-02-01.wav,16000,16,4.238,1,67801,
03-01-06-02-02-01-01.wav,16000,16,3.971,1,63530,
03-01-06-02-02-02-01.wav,16000,16,3.904,1,62463,
03-01-07-01-01-01-01.wav,16000,16,3.87,1,61928,
03-01-07-01-01-02-01.wav,16000,16,3.904,1,62462,
03-01-07-01-02-01-01.wav,16000,16,3.904,1,62462,
03-01-07-01-02-02-01.wav,16000,16,3.837,1,61395,
03-01-07-02-01-01-01.wav,16000,16,4.304,1,68869,
03-01-07-02-01-02-01.wav,16000,16,4.104,1,65666,
03-01-07-02-02-01-01.wav,16000,16,4.037,1,64598,
03-01-07-02-02-02-01.wav,16000,16,4.371,1,69936,
03-01-08-01-01-01-01.wav,16000,16,3.403,1,54454,
03-01-08-01-01-02-01.wav,16000,16,3.27,1,52319,
03-01-08-01-02-01-01.wav,16000,16,3.537,1,56590,
03-01-08-01-02-02-01.wav,16000,16,3.27,1,52319,
03-01-08-02-01-01-01.wav,16000,16,3.437,1,54988,
03-01-08-02-01-02-01.wav,16000,16,3.57,1,57124,
03-01-08-02-02-01-01.wav,16000,16,3.504,1,56056,
03-01-08-02-02-02-01.wav,16000,16,3.27,1,52319,
mashup1.wav,16000,16,10,1,160000,
output1.wav,16000,16,5,1,80000,
Test 1.wav,16000,16,3.303,1,52853,
